seat_id,seat_name,seat_district,leader_name,leader_party_full,leader_party_short,declared_winner_yes_no,total_votes,leader_votes,leader_vote_share_pc,loser_name,loser_party_full,loser_party_short,loser_votes,loser_vote_share_pc,lead_margin_votes,lead_margin_vote_share_pc,url_for_checking
50,Greater Kailash,New Delhi,Shikha Roy,Bharatiya Janata Party,BJP,no,103446.0,49370.0,47.7,Saurabh Bharadwaj,Aam Aadmi Party,AAP,46231.0,44.7,3139.0,3.0,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0550.htm
51,Kalkaji,South-East,Atishi,Aam Aadmi Party,AAP,no,97035.0,47267.0,48.7,Ramesh Bidhuri,Bharatiya Janata Party,BJP,44472.0,45.8,2795.0,2.9,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0551.htm
52,Tughlakabad,South-East,Sahi Ram,Aam Aadmi Party,AAP,no,114938.0,62155.0,54.1,Rohtash Kumar,Bharatiya Janata Party,BJP,47444.0,41.3,14711.0,12.8,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0552.htm
53,Badarpur,South-East,Ram Singh Netaji,Aam Aadmi Party,AAP,no,136414.0,78541.0,57.6,Narayan Dutt Sharma,Bharatiya Janata Party,BJP,52138.0,38.2,26403.0,19.4,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0553.htm
54,Okhla,South-East,Amanatullah Khan,Aam Aadmi Party,AAP,no,94948.0,47798.0,50.3,Shifa Ur Rehman Khan,All India Majlis-E-Ittehadul Muslimeen,AIMIM,27844.0,29.3,19954.0,21.0,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0554.htm
55,Trilokpuri,East,Ravi Kant,Bharatiya Janata Party,BJP,no,126283.0,58217.0,46.1,Anjana Parcha,Aam Aadmi Party,AAP,57825.0,45.8,392.0,0.3,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0555.htm
56,Kondli,East,Kuldeep Kumar (Monu),Aam Aadmi Party,AAP,yes,128730.0,61792.0,48.0,Priyanka Gautam,Bharatiya Janata Party,BJP,55499.0,43.1,6293.0,4.9,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0556.htm
57,Patparganj,East,Ravinder Singh Negi (Ravi Negi),Bharatiya Janata Party,BJP,no,138652.0,74060.0,53.4,Avadh Ojha,Aam Aadmi Party,AAP,45988.0,33.2,28072.0,20.2,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0557.htm
58,Laxmi Nagar,East,Abhay Verma,Bharatiya Janata Party,BJP,no,116460.0,60454.0,51.9,B B Tyagi,Aam Aadmi Party,AAP,50353.0,43.2,10101.0,8.7,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0558.htm
59,Vishwas Nagar,Shahdara,Om Prakash Sharma,Bharatiya Janata Party,BJP,no,125022.0,72141.0,57.7,Deepak Singhal,Aam Aadmi Party,AAP,47099.0,37.7,25042.0,20.0,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0559.htm
60,Krishna Nagar,East,Dr Anil Goyal,Bharatiya Janata Party,BJP,no,92349.0,51789.0,56.1,Vikas Bagga Ca,Aam Aadmi Party,AAP,33681.0,36.5,18108.0,19.6,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0560.htm
61,Gandhi Nagar,East,Arvinder Singh Lovely,Bharatiya Janata Party,BJP,no,105404.0,56858.0,53.9,Naveen Chaudhary (Deepu),Aam Aadmi Party,AAP,44110.0,41.8,12748.0,12.1,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0561.htm
62,Shahdara,Shahdara,Sanjay Goyal,Bharatiya Janata Party,BJP,no,126517.0,62788.0,49.6,Jitender Singh Shunty,Aam Aadmi Party,AAP,57610.0,45.5,5178.0,4.1,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0562.htm
63,Seema Puri,Shahdara,Veer Singh Dhingan,Aam Aadmi Party,AAP,no,99096.0,45706.0,46.1,Ku. Rinku,Bharatiya Janata Party,BJP,44517.0,44.9,1189.0,1.2,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0563.htm
64,Rohtas Nagar,Shahdara,Jitender Mahajan,Bharatiya Janata Party,BJP,no,125046.0,75817.0,60.6,Sarita Singh,Aam Aadmi Party,AAP,43794.0,35.0,32023.0,25.6,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0564.htm
65,Seelampur,North-East,Chaudhary Zubair Ahmad,Aam Aadmi Party,AAP,no,105280.0,62046.0,58.9,Anil Kumar Sharma (Gaur),Bharatiya Janata Party,BJP,29222.0,27.8,32824.0,31.1,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0565.htm
66,Ghonda,North-East,Ajay Mahawar,Bharatiya Janata Party,BJP,no,127345.0,70981.0,55.7,Gaurav Sharma,Aam Aadmi Party,AAP,50230.0,39.4,20751.0,16.3,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0566.htm
67,Babarpur,Shahdara,Gopal Rai,Aam Aadmi Party,AAP,no,136684.0,74566.0,54.6,Anil Kumar Vashisht,Bharatiya Janata Party,BJP,52406.0,38.3,22160.0,16.3,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0567.htm
68,Gokalpur,North-East,Surendra Kumar,Aam Aadmi Party,AAP,no,129630.0,62749.0,48.4,Praveen Nimesh,Bharatiya Janata Party,BJP,56029.0,43.2,6720.0,5.2,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0568.htm
69,Mustafabad,North-East,Mohan Singh Bisht,Bharatiya Janata Party,BJP,no,170596.0,77481.0,45.4,Adeel Ahmad Khan,Aam Aadmi Party,AAP,54843.0,32.1,22638.0,13.3,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0569.htm
70,Karawal Nagar,North-East,Kapil Mishra,Bharatiya Janata Party,BJP,no,143824.0,90948.0,63.2,Manoj Kumar Tyagi,Aam Aadmi Party,AAP,46101.0,32.1,44847.0,31.1,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0570.htm
